S NO,INSTITUTE  ID,NAME OF THE INSTITUTE,CITY,SCORE,TLR /100,,,,TOTAL/100,RP /100,,,,TOTAL/100,GO /100,,,,TOTAL/100,OI/100,,,,TOTAL/100,PR/100,RANK
,,,,,SS/20,FSR/30,FQE/20,FRU/30,,PU/35,QP/40,IPR/15,FPPP/10,,GPH/40,GUE/15,MS/25,GPHD/20,,RD/30,WD/30,ESCS/20,PCS/20,,,
157,IR-E-C-16547 ,Sri Sairam Engineering College,Kancheepuram ,36.41,12.15,27.11,12.44,6.52,58.22,4.05,4.4,5,0.37,13.82,18.16,15,10.12,2.66,45.94,3.41,26.56,1.05,20,51.02,5.12,157
158,IR-E-C-1412 ,JSS Science and Technology University,Mysuru ,36.36,12.07,23.09,11.79,7.82,54.77,1.99,2.66,1.5,0.39,6.54,29.55,14.45,12.46,1.57,58.03,1.76,25.41,4.67,20,51.84,11.78,158
159,IR-E-U-0491 ,Vels Institute of Science Technology & Advanced Studies (VISTAS) -Chennai,,36.35,6.49,26.34,14.52,4.61,51.96,11.11,9.57,2.5,0.38,23.56,25.71,12.34,8.57,0.6,47.22,2.41,17,2.44,20,41.85,0.54,159
160,IR-E-C-36975 ,Government College of Technology,Coimbatore,36.22,10.38,20.62,10.66,6.12,47.78,3.23,6.12,0.5,0.2,10.05,26.94,14.14,14.67,2.31,58.06,0.21,25.86,3.74,20,49.81,22.89,160
161,IR-E-C-30153 ,"Silicon Institute of Technology (SIT), Bhubaneswar",Bhubaneswar,36.19,8.65,28.46,15.38,6.48,58.97,0.89,2.1,0.5,0.03,3.52,30.91,15,9.95,0,55.86,12.73,26.1,3.51,20,62.34,0.54,161
162,IR-E-C-19650 ,Vardhaman College of Engineering,Rangareddy ,36.15,10.5,24.14,11.66,5.59,51.89,2.45,2.64,4,0.24,9.33,29.53,14.56,10.5,0,54.59,1.14,24.49,2.36,20,47.99,20.62,162
163,IR-E-C-18817 ,"G. H. Raisoni College of Engineering, Nagpur",Nagpur,36.12,10.36,27.67,12.85,6.6,57.48,2.26,1.94,6,0.23,10.43,23.97,15,9.68,0,48.65,4.08,25.56,4.93,20,54.57,5.6,163
164,IR-E-U-0541,Sharda University,Greater Noida ,36.1,9.61,28.17,14.95,5.01,57.74,5.84,7.32,4,0.2,17.36,15.11,12.46,8.91,0.96,37.44,15.46,19.88,0.23,20,55.57,5.12,164
165,IR-E-C-26929 ,Sree Vidyanikethan Engineering College,Tirupati ,36.08,13.17,23.97,10.96,5.53,53.63,1.5,2.75,5,0.1,9.35,25.84,14.38,10.63,0,50.85,0.71,25.52,4.6,20,50.83,19.27,165
166,IR-E-C-25622 ,Chaitanya Bharathi Institute of Technology,Hyderabad,35.84,12,25.05,11.91,8.54,57.5,1.44,1.55,0,0.08,3.07,30.69,15,11.2,0,56.89,2.68,25.61,3.65,20,51.94,10.95,166
167,IR-E-C-33773 ,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,Mumbai,35.62,8.5,20.57,8.85,8.61,46.53,5.81,4.26,3,0.04,13.11,33.62,15,14.92,0.38,63.92,0.46,24.63,1.32,20,46.41,3.14,167
168,IR-E-I-1356 ,Rabindranath Tagore University,Raisen,35.62,9,30,18.62,4.28,61.9,0.26,0.59,1,0.16,2.01,21.04,15,10.95,4.26,51.25,18.28,20.76,2.95,20,61.99,0,167
169,IR-E-C-27089 ,National Engineering College,Kovilpatti,35.58,8.96,28.13,13.57,4.85,55.51,3.6,6.46,2,0.04,12.1,27.6,15,8.57,0.16,51.33,0.08,25.31,2.31,20,47.7,2.64,169
170,IR-E-C-19607 ,CVR College of Engineering,Ibrahimpatan,35.51,13.25,29.27,12.66,6.01,61.19,1.17,2.42,1,0.13,4.72,25.06,15,10.79,0,50.85,5.78,25.48,2.73,20,53.99,1.6,170
171,IR-E-U-0615 ,National Institute of Technology Arunachal Pradesh,Itanagar,35.49,5.35,23.22,14.71,12.68,55.96,5.07,5.94,3,1.26,15.27,17.27,9.81,12.73,1.1,40.91,12.3,13.78,8.76,20,54.84,4.63,171
172,IR-E-C-42054 ,Army Institute of Technology,Pune ,35.38,7.5,24.71,9.47,9.45,51.13,0.47,0.26,1.5,0.13,2.36,35.67,15,14.21,0,64.88,25,18.04,0.81,14,57.85,5.6,172
173,IR-E-U-0614,National Institute of Technology Sikkim,South Sikkim ,35.33,5.56,30,16.01,12.68,64.25,4.3,5.68,0,0.28,10.26,16.46,10.68,13.05,0.08,40.27,15.22,12.71,5.68,14,47.61,1.6,173
174,IR-E-C-37028 ,Sona College of Technology,Salem,35.29,10.79,25.95,13.74,6.52,57,2.62,3.5,1.5,0.39,8.01,28.59,13.61,9.14,1.37,52.71,1,23.52,3.91,20,48.43,4.14,174
175,IR-E-C-1400 ,NMAM Institute of Technology,"Nitte, Udupi ",35.27,12,24.01,11.92,7.38,55.31,3.91,5.35,2,0.14,11.4,23.67,15,11.52,0.16,50.35,2.36,24.93,1.49,20,48.78,3.14,175
176,IR-E-C-16576 ,Chennai Institute of Technology,Chennai,35.27,8.65,28.28,13.26,5.05,55.24,2.29,4.63,2,0.28,9.2,23.13,15,8.99,0,47.12,5.41,22.85,8.45,20,56.71,20,175
177,IR-E-U-0685 ,Indira Gandhi Delhi Technical University for Women,Delhi,35.23,9.01,13.66,8.38,8.34,39.39,4.62,5.19,0,1.22,11.03,33.26,14.78,17.98,1.23,67.25,3.73,30,0.39,16,50.12,16.43,177
178,IR-E-U-0384 ,Sant Longowal Institute of Engineering & Technology,Longowal,35.2,9.87,22.96,11.99,12.62,57.44,7.38,10.41,0.5,0.23,18.52,9.69,9.28,9.14,2.01,30.12,21.91,15.86,3.06,20,60.83,3.14,178
179,IR-E-U-0774 ,DIT University,Dehradun ,35.14,10.51,19.97,11.31,9.21,51,2.72,5.81,1,0.08,9.61,27.8,15,10.5,1.63,54.93,15.31,20.75,0.56,20,56.62,3.14,179
180,IR-E-C-1406 ,C M R Institute of Technology,Bengaluru ,35.11,9.95,28.64,12.36,6.39,57.34,2.28,2.81,3,0.2,8.29,25.18,13.61,11.01,0,49.8,6.14,24.29,1.57,20,52,2.64,180
181,IR-E-C-16560 ,Easwari Engineering College,Chennai,35.07,9.37,24.92,12.1,6.05,52.44,1.36,2.62,3,0.22,7.2,31.7,14.61,11.65,0,57.96,0.25,22.1,8.89,20,51.24,3.65,181
182,IR-E-U-0535 ,Rajiv Gandhi Institute of Petroleum Technology,Amethi,34.99,5.38,21.43,14.57,17.43,58.81,1.66,4.39,0,1,7.05,28.32,9.51,14.76,1.63,54.22,11.73,9.28,2.95,20,43.96,0,182
183,IR-E-C-1352 ,Nitte Meenakshi Institute of Technology,Bengaluru,34.97,11.57,25.54,12,7.44,56.55,2.05,3.46,2,0.2,7.71,24.69,13.91,11.4,0.82,50.82,10.16,22.33,1.32,20,53.81,1.6,183
184,IR-E-U-0455 ,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Chennai,34.93,8.8,12.03,8.22,7.32,36.37,5.73,6.26,0,1.16,13.15,30.47,15,15.43,1.69,62.59,18.93,8.45,3.99,20,51.37,24.12,184
185,IR-E-C-18254 ,Yeshwantrao Chavan College of Engineering,Nagpur,34.88,13.5,21.28,10.56,7.07,52.41,1.25,1.28,6,0.24,8.77,31.8,14.53,10.74,0,57.07,0.62,24.93,5.19,20,50.74,0.54,185
186,IR-E-U-0513 ,G. L. A. University,Mathura,34.74,13.68,23.85,12.45,5.54,55.52,5.91,8.67,5,0.09,19.67,13.63,13.72,9.8,0.46,37.61,4.17,20.02,1.43,20,45.62,1.08,186
187,IR-E-C-46111 ,KIET Group of Institutions,Ghaziabad,34.73,13.5,22.47,11.06,6.3,53.33,1.95,3.18,4,0.26,9.39,29.48,15,10.56,0.08,55.12,2.7,20.84,2.75,20,46.29,2.64,187
188,IR-E-C-17958 ,GMR Institute of Technology,Rajam,34.71,10.31,24.53,14.07,8.25,57.16,4.29,6.47,4,0.52,15.28,18.35,14.37,10.2,0,42.92,1.87,15.23,4.75,20,41.85,2.12,188
189,IR-E-U-0217 ,Christ University,Bengaluru,34.64,7.24,20.9,12.1,5.66,45.9,7.66,9.43,2,0.13,19.22,19.68,11.44,9.65,0.6,41.37,14.64,17.24,0.34,20,52.22,16.07,189
190,IR-E-U-0765 ,Institute of Infrastructure Technology Research and Management (IITRAM),Ahmedabad,34.41,5.6,23.22,15.53,10.53,54.88,8.15,10.56,0.5,0.86,20.07,16,14.94,8.96,0.53,40.43,7.82,8.95,0.44,20,37.21,1.08,190
191,IR-E-U-0168 ,Maharishi Markandeshwar,Ambala,34.37,7.9,30,15.9,5.62,59.42,4.32,6.06,4,0.13,14.51,15.82,7.47,10.39,1.23,34.91,10.92,17.64,0.95,20,49.51,2.64,191
192,IR-E-N-13 ,Galgotias College of Engineering & Technology,Greater Noida ,34.29,10.42,26.6,12.9,4.83,54.75,1.85,3.09,2,0.04,6.98,27.36,15,9.18,0,51.54,6.48,20.98,0.95,20,48.41,6.07,192
193,IR-E-C-42227 ,Dr. D. Y. Patil Institute of Technology,Pune,34.1,13,24.72,9.82,5.94,53.48,0.17,0.24,1,0.08,1.49,30.46,14.32,12.62,2.31,59.71,5.31,24.83,1.84,20,51.98,4.63,193
194,IR-E-U-0622 ,National Institute of Technology Delhi,Delhi,33.96,5.24,17,11.25,8.11,41.6,10.84,11.12,0,0.63,22.59,17.65,10.65,14.98,1.43,44.71,13.12,9.61,0,20,42.73,14.94,194
195,IR-E-C-46239 ,G. L. Bajaj Institute of Technology and Management,Greater Noida ,33.95,10.91,26.04,12.02,5.51,54.48,2.56,4.48,3,0.17,10.21,22.89,15,10.09,0,47.98,5.9,19.63,2.26,20,47.79,1.6,195
196,IR-E-U-0854 ,KLE Technological University,Dharwad,33.9,13.5,21.22,9.93,6.62,51.27,3.55,5.6,1,0.21,10.36,24.45,15,11.39,0,50.84,2.17,25.42,0.71,20,48.3,4.14,196
197,IR-E-C-33777,Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,Mumbai Suburban,33.88,9.5,24.19,10.93,8.75,53.37,3.47,1.99,0.5,0.15,6.11,30.39,15,11.77,1.17,58.33,0.41,21.79,0.52,20,42.72,1.08,197
198,IR-E-C-16504 ,Sri Venkateswara College of Engineering and Technology,Chittoor,33.77,9.36,26.08,10.85,4.86,51.15,0.11,0.28,1,0.14,1.53,32.25,14.83,11.6,0.38,59.06,5.13,25.15,8.08,20,58.36,3.14,198
199,IR-E-C-1336 ,BMS Institute of Technology & Management,Bengaluru,33.76,10.5,18.09,9.66,8.15,46.4,1.45,3.25,0,0.07,4.77,31.27,15,10.11,0.08,56.46,7.89,24.51,1.98,20,54.38,16.8,199
200,IR-E-C-19582 ,Vidya Jyothi Institute of Technology,Hyderabad,33.7,10.86,29.96,11.98,5.17,57.97,0.38,0.39,2,0.04,2.81,24.04,13.33,9.21,0,46.58,4.94,27.71,2.81,20,55.46,6.07,200
